source;translation;type;module;status;customer
"Referer";"Referentie";B;;T;N
"Commision";"Provisie";S;;T;N
"Recurring commison id";"Periodieke provisie ID";S;;T;N
"Payout history id";"Uitbetaalgeschiedenis ID";S;;T;N
"Click count";"Aantal klikken";S;;T;N
"First click time";"Eerste klik op tijd";S;;T;N
"First click referer";"Eerste klik referentie";S;;T;N
"First click ip";"Eerste klik IP";S;;T;N
"First click data 1";"Eerste klik gegevens 1";S;;T;N
"First click data 2";"Eerste klik gegevens 2";S;;T;N
"Last click time";"Laatste klik op tijd";S;;T;N
"Last click referer";"Laatste klik referentie";S;;T;N
"Last click ip";"Laatste klik IP";S;;T;N
"Last click data 1";"Laatste klik gegevens 1";S;;T;N
"Last click data 2";"Laatste klik gegevens 2";S;;T;N
"Extra data 1";"Extra gegevens 1";B;;T;N
"Extra data 2";"Extra gegevens 2";B;;T;N
"Extra data 3";"Extra gegevens 3";S;;T;N
"Extra data 4";"Extra gegevens 4";S;;T;N
"Extra data 5";"Extra gegevens 5";S;;T;N
"Merchant note";"Zakenpartner notitie";B;;T;N
"Banner name";"Banner naam";S;merchant;T;N
"Banner preview";"Banner voorvertoon";S;merchant;T;N
"Campaign";"Campagne";B;;T;N
"Target URL";"URL doel";B;;T;N
"Banner type";"Banner type";S;;T;N
"Html data is not defined";"Html gegevens zijn niet gedefinieerd";S;;T;N
"File name is not defined";"Bestandsnaam is niet gedefinieerd";S;;T;N
"unknown";"onbekend";B;;T;N
"approved";"goedgekeurd";B;;T;N
"pending";"in behandeling";B;;T;N
"User Id";"Gebruiker-id";S;;T;N
"Payment date";"Betaaldatum";S;;T;N
"Username";"Gebruikersnaam";B;;T;N
"Amount";"Bedrag";B;;T;N
"Note to affiliate";"Notitie voor partner";S;;T;N
"Original currency ID";"Originele valuta ID";S;;T;N
"Original currency rate";"Originele valutakoers";S;;T;N
"Original currency value";"Originele valutawaarde";S;;T;N
"System note";"Systeem notitie";B;;T;N
"Country code";"Landcode";S;;T;N
"Affiliate first name";"Partner voornaam";S;;T;N
"Affiliate last name";"Partner achternaam";S;;T;N
"3rd party cookie";"3de party cookie";B;;T;N
"1st party cookie";"1ste party cookie";B;;T;N
"Flash cookie";"Flash cookie";B;;N;N
"Forced parameter";"Benodigde parameter";B;;T;N
"IP address";"IP-adres";B;;T;N
"Default affiliate";"Standaard partner";B;;T;N
"Url";"URL";B;;T;N
"Note";"Notitie";B;;T;N
"Status does not have allowed value";"Status heeft geen toegestane waarde";S;;T;N
"Selected username already exists";"Gekozen gebruikersnaam bestaat al";S;;T;N
"Failed to change status for %s user(s)";"Fout bij wijzigen status voor %s gebruiker (s)";S;;T;N
"Status successfully changed for %s user(s)";"Status succesvol gewijzigd voor% s gebruiker (s)";S;;T;N
"Password";"Wachtwoord";B;;T;N
"Title must be unique";"Titel moet uniek zijn";S;affiliate;T;N
"Selected parent affiliate does not exist";"Geselecteerde partner bestaat niet";S;;T;N
"Failed loading file %s with error: %s";"Fout bij het laden van bestand %s met fout: %s";S;;T;N
"Merchant - New User Signup";"Zakenpartner - Nieuwe gebruiker aanmelding";B;merchant;T;N
"New user signed up";"Nieuwe gebruiker aangemeld";B;merchant;T;N
"Email subject";"Email onderwerp";S;merchant;T;N
"Email text";"Email tekst";S;merchant;T;N
"Merchant - Affiliate filled Contact us form";"Zakenpartner - Partner heeft contactformulier ingevuld";B;merchant;T;N
"Affiliate filled Contact us form";"Partner heeft contactformulier ingevuld";B;merchant;T;N
"Merchant - New Sale / Lead";"Zakenpartner - Nieuwe Verkoop / Lead";B;merchant;T;N
"New sale / lead";"Nieuwe verkoop / lead";B;;T;N
"Affiliate - New User Signup Approved";"Partner - Nieuwe gebruiker goedgekeurd";B;;T;N
", welcome to our affiliate program";", welkom bij ons partnerprogramma";B;;T;N
"Affiliate - New User Signup Before Approval";"Partner - Nieuwe gebruiker wacht op goedkeuring";B;;T;N
"Paid amount";"Betaald bedrag";S;;T;N
"Paid currency";"Betaald valuta";S;;T;N
"Payout method";"Uitbetaling methode";B;;T;N
"Affiliate - On payout";"Partner - uitbetalen";B;;T;N
"Your commissions";"Uw provisie";B;;T;N
"Affiliate - New Subaffiliate Sale / Lead";"Partner - Nieuwe Sub-partner verkoop / Lead";B;affiliate;T;N
"New subaffiliate sale / lead";"Nieuwe sub-partner verkoop / lead";B;affiliate;T;N
"Affiliate - New Subaffiliate signup";"Partner - Nieuwe Sub-partner aanmelding";B;affiliate;T;N
"New subaffiliate signed up";"Nieuwe sub-partner aangemeld";B;affiliate;T;N
"VAT percentage";"BTW-percentage";B;;T;N
"VAT number";"BTW-nummer";B;;T;N
"Registration number";"Inschrijfnummer";B;;T;N
"VAT part";"BTW-deel";B;;T;N
"Payment incl. VAT";"Betaling incl. BTW";B;;T;N
"Payment excl. VAT";"Betaling excl.. BTW";B;;T;N
"Affiliate - On VAT payout";"Partner - met BTW uitbetalen";B;;T;N
"Transaction ID";"Transactie ID";S;;T;N
"TotalCost";"Totaalkosten";S;;T;N
"Campaign ID";"Campagne-ID";S;;T;N
"Referer URL";"Referentie URL";S;;T;N
"First click - time";"Eerste klik - tijd";S;;T;N
"First click - referer";"Eerste klik - referentie";S;;T;N
"First click - IP";"Eerste klik - IP";S;;T;N
"First click - data1";"Eerste klik - data1";S;;T;N
"First click - data2";"Eerste klik - data2";S;;T;N
"Last click - time";"Laatste klik - tijd";S;;T;N
"Last click - referer";"Laatste klik - referentie";S;;T;N
"Last click - IP";"Laatste klik - IP";S;;T;N
"Last click - data1";"Laatste klik - data1";S;;T;N
"Last click - data2";"Laatste klik - data2";S;;T;N
"Transaction data1";"Transactie data1";S;;T;N
"Transaction data2";"Transactie data2";S;;T;N
"Transaction data3";"Transactie data3";S;;T;N
"Transaction data4";"Transactie data4";S;;T;N
"Transaction data5";"Transactie data5";S;;T;N
"Note to merchant";"Notitie voor de zakenpartner";S;;T;N
"Original currency";"Oorspronkelijke valuta";S;;T;N
"Banner does not exist";"Banner bestaat niet";S;merchant;T;N
"Server error: Unknown type given for BannerForm._save()";"Server error: Onbekend type voor BannerForm._save ()";S;merchant;T;N
"Banner was saved";"Banner is opgeslagen";S;merchant;T;N
"Imps";"Imps";S;merchant;T;N
"Clicks";"Klikken";B;;T;N
"CTR";"CTR";S;;T;N
"Order";"Order";B;merchant;T;N
"BannersImportExportDescription";"Banner import / export beschrijving";B;merchant;T;N
"Campaign does not exist";"Campagne bestaat niet";S;merchant;T;N
"Campaign capping saved";"Campagne instelling opgeslagen";S;merchant;T;N
"Number of transactions in 'Active until' campaign validity has to be set";"Aantal transacties in campagne 'Actief totdat' moet geldigheid ingesteld worden";S;merchant;T;N
"There are missing From and To dates for 'Active in date range' campaign validity";"Er ontbreken van / tot in campagne 'Actief in datum bereik' geldigheid";S;merchant;T;N
"Commission successfuly computed";"Provisie succesvol berekend";S;merchant;T;N
"User is not valid!";"Gebruiker is niet geldig!";S;merchant;T;N
"Campaign is not valid!";"Campagne is niet geldig!";S;merchant;T;N
"Transaction type is not valid or doesn't exist in this campaign!";"Transactie is niet geldig of bestaat niet in deze campagne!";S;merchant;T;N
"Cannot recognize commission group for this user in campaign!";"Kan de provisie voor deze gebruiker in deze campagne niet herkennen!";S;merchant;T;N
"Error getting commission settings!";"Fout bij het ophalen van de provisie instellingen!";S;merchant;T;N
"Error, for percentage commissions you have to define Total cost!";"Fout bij het procentuele definiëren van de provisies op de totaalkosten!";S;merchant;T;N
"You cannot deactivate default campaign";"U kunt standaard campagne niet uitschakelen";S;merchant;T;N
"You cannot delete default campaign";"U kunt standaard campagne niet verwijderen";S;merchant;T;N
"Default";"Standaard";B;;T;N
"per sale / lead";"per verkoop / lead";B;;T;N
"CampaignsImportExportDescription";"Campagne import / export beschrijving";B;merchant;T;N
"loadCommissionGroups: campaignId is empty";"Laden provisiegroep: campagne ID is leeg";S;merchant;T;N
"Campaign ID cannot be empty!";"Campagne-ID mag niet leeg zijn!";S;merchant;T;N
"CommissionTypeId (Id) cannot be empty!";"Provisie type (ID) mag niet leeg zijn!";S;merchant;T;N
"CommissionGroupId cannot be empty!";"Provisiegroep ID mag niet leeg zijn!";S;merchant;T;N
"Commission type does not exist";"Provisie bestaat niet";S;merchant;T;N
"Commissions saved successfuly";"Provisie succesvol opgeslagen";S;merchant;T;N
"Field 'type' does not exist";"Veld ""type"" bestaat niet";S;merchant;T;N
"Failed to change status";"Fout bij status wijziging";S;merchant;T;N
"Status successfully changed";"Status succesvol gewijzigd";S;merchant;T;N
"CommissionsImportExportDescription";"Provisie import / export beschrijving";B;merchant;T;N
"Affiliate screen";"Partner scherm";S;merchant;T;N
"Affiliate panel menu saved";"Partner panel menu opgeslagen";S;merchant;T;N
"Error changing default theme";"Fout bij het wijzigen van standaard thema";S;merchant;T;N
"Default theme changed";"Standaard thema gewijzigd";S;merchant;T;N
"Program name and logo saved";"Programma naam en het logo opgeslagen";S;merchant;T;N
"Affiliate signup settings saved";"Partner aanmelding instellingen opgeslagen";S;merchant;T;N
"Banner format successfully saved";"Banner formaat opgeslagen";S;merchant;T;N
"Cookies settings saved";"Cookies instellingen opgeslagen";S;merchant;T;N
"Symbol";"Symbool";B;;T;N
"Precision";"Nauwkeurigheid";B;;T;N
"Where to display";"Waar tonen";B;;T;N
"Exchange rate";"Wisselkoers";S;;T;N
"NEW";"NIEUW";B;;T;N
"Currency";"Valuta";B;;T;N
"Fraud protections saved";"Fraude bescherming opgeslagen";S;merchant;T;N
