source;translation;type;module;status;customer
"Click count";"Klikktelling";S;;T;N
"First click time";"Første klikktidspunkt";S;;T;N
"First click referer";"Første klikkreferer";S;;T;N
"First click ip";"Første klikk IP";S;;T;N
"First click data 1";"Første klikk data 1";S;;T;N
"First click data 2";"Første klikk data 2";S;;T;N
"Last click time";"Siste klikktidspunkt";S;;T;N
"Last click referer";"Siste klikkreferer";S;;T;N
"Last click ip";"Siste klikk IP";S;;T;N
"Last click data 1";"Siste klikk data 1";S;;T;N
"Last click data 2";"Siste klikk data 2";S;;T;N
"Extra data 1";"Ekstra data 1";B;;T;N
"Extra data 2";"Ekstra data 2";B;;T;N
"Extra data 3";"Ekstra data 3";S;;T;N
"Extra data 4";"Ekstra data 4";S;;T;N
"Extra data 5";"Ekstra data 5";S;;T;N
"Merchant note";"Merchant merknad";B;;T;N
"Banner name";"Bannernavn";S;merchant;T;N
"Banner preview";"Banner forhåndsvisning";S;merchant;T;N
"Campaign";"Kampanje";B;;T;N
"Target URL";"Mål URL";B;;T;N
"Banner type";"Bannertype";S;;T;N
"Html data is not defined";"Html data er ikke definert";S;;T;N
"File name is not defined";"Filnavn er ikke definert";S;;T;N
"unknown";"Ukjent";B;;T;N
"approved";"Godkjent";B;;T;N
"pending";"Venter";B;;T;N
"User Id";"Bruker ID";S;;T;N
"Payment date";"Utbetalingsdato";S;;T;N
"Username";"Brukernavn";B;;T;N
"Amount";"Beløp";B;;T;N
"Note to affiliate";"Merknad til affiliate";S;;T;N
"Original currency ID";"Opprinnelig valuta ID";S;;T;N
"Original currency rate";"Opprinnelig valutakurs";S;;T;N
"Original currency value";"Opprinnelig valutaverdi";S;;T;N
"System note";"System merknad";B;;T;N
"Country code";"Landskode";S;;T;N
"Affiliate first name";"Affiliate fornavn";S;;T;N
"Affiliate last name";"Affiliate etternavn";S;;T;N
"3rd party cookie";"3. part cookie";B;;T;N
"1st party cookie";"1. part cookie";B;;T;N
"Flash cookie";"Flash cookie";B;;N;N
"Forced parameter";"Tvungen parameter";B;;T;N
"IP address";"IP adresse";B;;T;N
"Default affiliate";"Standard affiliate";B;;T;N
"Url";"URL";B;;N;N
"Note";"Merknad";B;;T;N
"Status does not have allowed value";"Status har ikke tillatt verdi";S;;T;N
"Selected username already exists";"Valgt brukernavn finnes allerede";S;;T;N
"Failed to change status for %s user(s)";"Feilet å endre status for %s bruker(e)";S;;T;N
"Status successfully changed for %s user(s)";"Status vellykket endret for %s bruker(e)";S;;T;N
"Password";"Passord";B;;T;N
"Title must be unique";"Tittel må være unik";S;affiliate;T;N
"Selected parent affiliate does not exist";"Valgt foreldreaffiliate finnes ikke";S;;T;N
"Failed loading file %s with error: %s";"Feilet å laste fil %s med feil: %s";S;;T;N
"Merchant - New User Signup";"Merchant - Påmelding ny bruker";B;merchant;T;N
"New user signed up";"Ny bruker meldte seg på";B;merchant;T;N
"Email subject";"Epost emne";S;merchant;T;N
"Email text";"Epost tekst";S;merchant;T;N
"Merchant - Affiliate filled Contact us form";"Merchant - Affiliate sendt inn kontaktskjema";B;merchant;T;N
"Affiliate filled Contact us form";"Affiliate sendt inn kontaktskjema";B;merchant;T;N
"Merchant - New Sale / Lead";"Merchant - Nytt Salg / Lead";B;merchant;T;N
"New sale / lead";"Nytt salg / lead";B;;T;N
"Affiliate - New User Signup Approved";"Affiliate - Ny påmelding godkjent";B;;T;N
", welcome to our affiliate program";", velkommen til vårt affiliateprogram";B;;T;N
"Affiliate - New User Signup Before Approval";"Affiliate - Ny påmelding før godkjennelse";B;;T;N
"Paid amount";"Utbetalt beløp";S;;T;N
"Paid currency";"Utbetalt valuta";S;;T;N
"Payout method";"Utbetalingsmetode";B;;T;N
"Affiliate - On payout";"Affiliate - På utbetaling";B;;T;N
"Your commissions";"Dine provisjoner";B;;T;N
"Affiliate - New Subaffiliate Sale / Lead";"Affiliate - Nytt Salg / Lead Subaffiliate";B;affiliate;T;N
"New subaffiliate sale / lead";"Nytt salg / lead for subaffiliate";B;affiliate;T;N
"Affiliate - New Subaffiliate signup";"Affiliate - Ny Subaffiliate påmelding";B;affiliate;T;N
"New subaffiliate signed up";"Ny subaffiliate meldte seg på";B;affiliate;T;N
"VAT percentage";"MVA prosent";B;;T;N
"VAT number";"MVA nummer";B;;T;N
"Registration number";"Organisasjonsnummer";B;;T;N
"VAT part";"MVA utgjør";B;;T;N
"Payment incl. VAT";"Utbetaling inkl. MVA";B;;T;N
"Payment excl. VAT";"Utbetaling ekskl. MVA";B;;T;N
"Affiliate - On VAT payout";"Affiliate - Ved MVA utbetaling";B;;T;N
"Transaction ID";"Transaksjons ID";S;;T;N
"TotalCost";"Total ordreverdi";S;;T;N
"Campaign ID";"Kampanje ID";S;;T;N
"Referer URL";"Referer URL";S;;T;N
"First click - time";"Første klikk - tidspunkt";S;;T;N
"First click - referer";"Første klikk - referer";S;;T;N
"First click - IP";"Første klikk - IP";S;;T;N
"First click - data1";"Første klikk - data1";S;;T;N
"First click - data2";"Første klikk - data2";S;;T;N
"Last click - time";"Siste klikk - tidspunkt";S;;T;N
"Last click - referer";"Siste klikk - referer";S;;T;N
"Last click - IP";"Siste klikk - IP";S;;T;N
"Last click - data1";"Siste klikk - data1";S;;T;N
"Last click - data2";"Siste klikk - data2";S;;T;N
"Transaction data1";"Transaksjon data1";S;;T;N
"Transaction data2";"Transaksjon data2";S;;T;N
"Transaction data3";"Transaksjon data3";S;;T;N
"Transaction data4";"Transaksjon data4";S;;T;N
"Transaction data5";"Transaksjon data5";S;;T;N
"Note to merchant";"Merknad til merchant";S;;T;N
"Original currency";"Opprinnelig valuta";S;;T;N
"Banner does not exist";"Banner finnes ikke";S;merchant;T;N
"Server error: Unknown type given for BannerForm._save()";"Serverfeil: Ukjent type gitt for BannerForm._save()";S;merchant;T;N
"Banner was saved";"Banner ble lagret";S;merchant;T;N
"Imps";"Visninger";S;merchant;T;N
"Clicks";"Klikk";B;;T;N
"CTR";"CTR";S;;N;N
"Order";"Ordre";B;merchant;T;N
"BannersImportExportDescription";"Bannerdefinisjoner – merk at dette kun importerer/eksporterer definisjoner, ikke fysiske bilder eller filer";B;merchant;T;N
"Campaign does not exist";"Kampanje finnes ikke";S;merchant;T;N
"Campaign capping saved";"Kampanje ""capping"" lagret";S;merchant;T;N
"Number of transactions in 'Active until' campaign validity has to be set";"Antall transaksjoner i 'Aktiv inntil' kampanjevaliditet må settes";S;merchant;T;N
"There are missing From and To dates for 'Active in date range' campaign validity";"Fra og til datoer mangler for 'Aktiv i datoområdet' kampanjevaliditet";S;merchant;T;N
"Commission successfuly computed";"Provisjon ble regnet ut";S;merchant;T;N
"User is not valid!";"Bruker er ikke gyldig!";S;merchant;T;N
"Campaign is not valid!";"Kampanje er ikke gyldig!";S;merchant;T;N
"Transaction type is not valid or doesn't exist in this campaign!";"Transaksjonstype er ikke gyldig eller finnes ikke i denne kampanjen!";S;merchant;T;N
"Cannot recognize commission group for this user in campaign!";"Gjenkjenner ikke provisjonsgruppe for denne brukeren i kampanjen!";S;merchant;T;N
"Error getting commission settings!";"Feil under mottak av provisjonsinnstilling!";S;merchant;T;N
"Error, for percentage commissions you have to define Total cost!";"Feil, for prosentprovisjon må du definere Total Odreverdi";S;merchant;T;N
"You cannot deactivate default campaign";"Du kan ikke deaktivere default kampanje";S;merchant;T;N
"You cannot delete default campaign";"Du kan ikke slette default kampanje";S;merchant;T;N
"Default";"Standard";B;;T;N
"per sale / lead";"per salg / lead";B;;T;N
"CampaignsImportExportDescription";"Kampanjer og deres innstilling for provisjonsbeløp";B;merchant;T;N
"loadCommissionGroups: campaignId is empty";"loadCommissionGroups: campaignId er tom";S;merchant;T;N
"Campaign ID cannot be empty!";"Kampanje ID kan ikke være tom!";S;merchant;T;N
"CommissionTypeId (Id) cannot be empty!";"Provisjon TypeID (Id) kan ikke være tom!";S;merchant;T;N
"CommissionGroupId cannot be empty!";"Provisjonsgruppe ID kan ikke være tom!";S;merchant;T;N
"Commission type does not exist";"Provisjonstype finnes ikke";S;merchant;T;N
"Commissions saved successfuly";"Provisjon ble lagret";S;merchant;T;N
"Field 'type' does not exist";"Felt 'type' finnes ikke";S;merchant;T;N
"Failed to change status";"Feilet i å endre status";S;merchant;T;N
"Status successfully changed";"Status ble vellykket endret";S;merchant;T;N
"CommissionsImportExportDescription";"Provisjoner (transaksjoner, ordre) registrert av systemet";B;merchant;T;N
"Affiliate screen";"Affiliate skjermbilde";S;merchant;T;N
"Affiliate panel menu saved";"Affiliate panelmeny lagret";S;merchant;T;N
"Error changing default theme";"Feil under endring av default theme";S;merchant;T;N
"Default theme changed";"Standard theme endret";S;merchant;T;N
"Program name and logo saved";"Programnavn og logo lagret";S;merchant;T;N
"Affiliate signup settings saved";"Affiliate påmeldingsinnstilling lagret";S;merchant;T;N
"Banner format successfully saved";"Bannerformat ble lagret";S;merchant;T;N
"Cookies settings saved";"Innstilling for cookies lagret";S;merchant;T;N
"Symbol";"Symbol";B;;N;N
"Precision";"Presisjon";B;;T;N
"Where to display";"Vis hvor";B;;T;N
"Exchange rate";"Vekslingsforhold";S;;T;N
"NEW";"Ny";B;;T;N
"Currency";"Valuta";B;;T;N
"Fraud protections saved";"Beskyttelse mot svindel lagret";S;merchant;T;N
"Logging saved";"Logging lagret";S;merchant;T;N
"Parameter names saved";"Parameternavn lagret";S;merchant;T;N
"Tracking saved";"Sporing lagret";S;merchant;T;N
"URLs & Directories saved";"URLs & Kataloger lagret";S;merchant;T;N
"Affiliates successfully paid";"Affiliater ble betalt vellykket";S;merchant;T;N
"Email";"Epost";B;;T;N
"VAT";"MVA";S;merchant;T;N
"To pay";"Å betale";S;merchant;T;N
"Declined";"Avslått";B;;T;N
"Minimum payout";"Minimum utbetaling";S;merchant;T;N
"Payout data";"Utbetalingsdata";B;merchant;T;N
"N/A";"N/A";S;merchant;N;N
"New payout option";"Nytt utbetalingsvalg";S;merchant;T;N
"New payout option %s";"Nytt utbetalingsvalg %s";S;merchant;T;N
"Payout option";"Utbetalingsvalg";S;merchant;T;N
"Payout history";"Utbetalingshistorikk";S;merchant;T;N
"Date paid";"Dato utbetalt";S;merchant;T;N
"Payees";"mottaker";S;merchant;T;N
"Total amount";"Totalt beløp";S;merchant;T;N
"Affiliate note";"Affiliate merknad";B;merchant;T;N
"payee";"Betalingsmottaker";S;merchant;T;N
"Date";"Dato";B;;T;N
"Data 1";"Data 1";B;merchant;N;N
"Data 2";"Data 2";B;merchant;N;N
"Clicks raw";"Alle klikk";S;;T;N
"Clicks unique";"Unike klikk";S;;T;N
"Raw clicks older than %s are deleted";"Alle klikk eldre enn %s er slettet";S;merchant;T;N
"Failed to delete raw clicks";"Feilet å slette alle klikk";S;merchant;T;N
"Impressions raw";"Visninger alle";S;;T;N
"Impressions unique";"Visninger unike";S;;T;N
"Sales count";"Salgstelling";S;;T;N
"Table name";"Tabellnavn";S;merchant;T;N
"Records";"Oppføringer";S;merchant;T;N
"Total size";"Total størrelse";S;merchant;T;N
"Data size";"Datastørrelse";S;merchant;T;N
"Index size";"Index størrelse";S;merchant;T;N
"Transaction";"Transaksjon";B;;T;N
"Payout status";"Utbetalingsstatus";B;merchant;T;N
"Data 3";"Data 3";B;merchant;N;N
"Data 4";"Data 4";B;merchant;N;N
"Data 5";"Data 5";B;merchant;N;N
"Tracked by";"Sporet av";B;merchant;T;N
"Time";"Tidspunkt";B;;T;N
"Click data 1";"Klikk data 1";B;merchant;T;N
"Click data 2";"Klikk data 2";B;merchant;T;N
"unpaid";"Ubetalte";B;;T;N
"Username must be valid email address";"Brukernavnet må være en gyldig epostadresse";S;;T;N
"You have to agree with terms & conditions";"Du må samtykke til vilkårene";B;;T;N
"is mandatory";"er påkrevd";B;;T;N
"Payout settings saved";"Utbetalingsinnstilling lagret";S;merchant;T;N
"Affiliate details";"Affiliate detaljer";B;merchant;T;N
"Date joined";"Dato påmeldt";S;;T;N
"Date approved";"Dato godkjent";S;merchant;T;N
"Parent";"Foreldre";S;merchant;T;N
"Firstname";"Fornavn";B;;T;N
"Lastname";"Etternavn";B;;T;N
"Parent ID";"Foreldre ID";S;merchant;T;N
"Parent username";"Foreldre brukernavn";S;merchant;T;N
"Parent first name";"Foreldre fornavn";S;merchant;T;N
"Parent last name";"Foreldre etternavn";S;merchant;T;N
"AffiliatesImportExportDescription";"Affiliaters data – du kan bruke det for å laste nye affiliater til systemet";B;merchant;T;N
