"Comaxx_Docdata::Profile that is used for the reminder of exhortation period 1.","Profile that is used for the reminder of exhortation period 1."
"Comaxx_Docdata::Days Exhortation 2","Days Exhortation 2"
"Comaxx_Docdata::Number of days before the second payment reminder is sent.","Number of days before the second payment reminder is sent."
"Comaxx_Docdata::Profile Exhortation 2","Profile Exhortation 2"
"Comaxx_Docdata::Profile that is used for the reminder of exhortation period 2.","Profile that is used for the reminder of exhortation period 2."
"Comaxx_Docdata::Custom Statuses","Custom Statuses"
"Comaxx_Docdata::New order status","New order status"
"Mage_Adminhtml::-- Please Select --","-- Please Select --"
"Comaxx_Docdata::Determines a custom status to be used for a new order. Default use is 'pending'.","Determines a custom status to be used for a new order. Default use is 'pending'."
"Comaxx_Docdata::Pending payment status","Pending payment status"
"Comaxx_Docdata::Determines a custom status to be used for an order that has selected a payment method but is not yet (fully) paid. Default use is 'pending payment'.","Determines a custom status to be used for an order that has selected a payment method but is not yet (fully) paid. Default use is 'pending payment'."
"Comaxx_Docdata::Pending refund status","Pending refund status"
"Comaxx_Docdata::Determines a custom status to be used for an order for which a refund has been requested but not yet (fully) refunded. Default use is 'pending payment'.","Determines a custom status to be used for an order for which a refund has been requested but not yet (fully) refunded. Default use is 'pending payment'."
"Comaxx_Docdata::Paid status","Paid status"
"Comaxx_Docdata::Determines a custom status to be used for a paid order. Default use is 'payment review'.","Determines a custom status to be used for a paid order. Default use is 'payment review'."
"Comaxx_Docdata::Refunded status","Refunded status"
"Comaxx_Docdata::Determines a custom status to be used for a refunded order. Default use is 'payment review'.","Determines a custom status to be used for a refunded order. Default use is 'payment review'."
"Comaxx_Docdata::Charged back status","Charged back status"
"Comaxx_Docdata::Used when a payment is charged back by the financial institution. Default use is 'payment review'.","Used when a payment is charged back by the financial institution. Default use is 'payment review'."
"Comaxx_Docdata::Canceled status","Canceled status"
"Comaxx_Docdata::Determines a custom status to be used for a canceled order. Default use is 'canceled'.","Determines a custom status to be used for a canceled order. Default use is 'canceled'."
"Comaxx_Docdata::On hold status","On hold status"
"Comaxx_Docdata::Used as an error status. When manual action is required this status is used. For example when Docdata updates are inconsistent with what Magento expects.","Used as an error status. When manual action is required this status is used. For example when Docdata updates are inconsistent with what Magento expects."
"Comaxx_Docdata::AfterPay","AfterPay"
"Comaxx_Docdata::Title","Title"
"Comaxx_Docdata::Used on the front-end as the name of the method.","Used on the front-end as the name of the method."
"Comaxx_Docdata::Display Checkout fields","Display Checkout fields"
"Comaxx_Docdata::When set to No the fields phonenumber/street/housenr/housenr addition won't be shown by default.","When set to No the fields phonenumber/street/housenr/housenr addition won't be shown by default."
"Comaxx_Docdata::Payment method name","Payment method name"
"Comaxx_Docdata::As specified in the docdata backend.","As specified in the docdata backend."
"Comaxx_Docdata::Added costs","Added costs"
"Comaxx_Docdata::Amount to be added to each order for using Afterpay","Amount to be added to each order for using Afterpay"
"Comaxx_Docdata::Added costs includes tax","Added costs includes tax"
"Comaxx_Docdata::Display added cost as","Display added cost as"
"Comaxx_Docdata::Tax Class for added costs","Tax Class for added costs"
"Comaxx_Docdata::American Express","American Express"
"Comaxx_Docdata::Bank Transfer","Bank Transfer"
"Comaxx_Docdata::Direct Debit","Direct Debit"
"Comaxx_Docdata::DIRECT eBanking","DIRECT eBanking"
"Comaxx_Docdata::ELV","ELV"
"Comaxx_Docdata::Giropay","Giropay"
"Comaxx_Docdata::iDEAL","iDEAL"
"Comaxx_Docdata::KBC PAY Button","KBC PAY Button"
"Comaxx_Docdata::Maestro","Maestro"
"Comaxx_Docdata::Mastercard","Mastercard"
"Comaxx_Docdata::MrCash","MrCash"
"Comaxx_Docdata::PayPal","PayPal"
"Comaxx_Docdata::Sofortüberweisung","Sofortüberweisung"
"Comaxx_Docdata::Visa","Visa"
"Comaxx_Docdata::Klarna Invoice","Klarna Invoice"
"Comaxx_Docdata::Klarna Account","Klarna Account"
"Comaxx_Docdata::Amount to be added to each order for using Klarna Invoice","Amount to be added to each order for using Klarna Invoice"
"Comaxx_Docdata::Amount to be added to each order for using Klarna Account","Amount to be added to each order for using Klarna Account"
"Klarna Invoice servicekosten","Klarna Invoice servicekosten"
"Klarna Invoice servicekosten (Excl.BTW)","Klarna Invoice servicekosten (Excl.BTW)"
"Klarna Invoice servicekosten (Incl.BTW)","Klarna Invoice servicekosten (Incl.BTW)"
"Klarna Invoice fee","Klarna Invoice fee"
"Klarna Account servicekosten","Klarna Account servicekosten"
"Klarna Account servicekosten (Excl.BTW)","Klarna Account servicekosten (Excl.BTW)"
"Klarna Account servicekosten (Incl.BTW)","Klarna Account servicekosten (Incl.BTW)"
"Klarna Account fee","Klarna Account fee"
"The email address you tried to use was not accepted by our payment gateway, please choose another while placing the order again.","The email address you tried to use was not accepted by our payment gateway, please choose another while placing the order again."
"The email address you tried to use is too long for our payment gateway, please select a shorter email address when placing the order again.","The email address you tried to use is too long for our payment gateway, please select a shorter email address when placing the order again."
"You still have an open order. You can <a href='%s'>recover your shopping cart</a> or you can <a href='%s'>cancel</a> the order.","You still have an open order. You can <a href='%s'>recover your shopping cart</a> or you can <a href='%s'>cancel</a> the order."
"Order total: ","Order total: "
"Order items: ","Order items: "
"Your payment was cancelled upon your request.","Your payment was cancelled upon your request."
