"Sort order","Sorteer volgorde"
"Default Package Width","Standaard breedte pakketten"
"Default Package Height","Standaard hoogte pakketten"
"Default Package Length","Standaard lengte pakketten"
"Standard Overnight","Standard Overnight"
"Station","Station"
"Subtotal","Subtotaal"
"Subtotal With Discount","Subtotaal met korting"
"Title","Titel"
"To lower","To lower"
"To upper","To upper"
"Access ID","Toegangs ID"
"Access license number","Toegangs licentie nummer"
"Allowed methods","Toegestane methodes"
"Destination type","Type Bestemming"
"United Parcel Service","United Parcel Service"
"United Parcel Service XML","United Parcel Service XML"
"UPS","UPS"
"UPS Expedited","UPS Expedited"
"UPS Express","UPS Express"
"UPS Express Box","UPS Express Box"
"UPS Express Early A.M.","UPS Express Early A.M."
"UPS Express Plus","UPS Express Plus"
"UPS Ground","UPS Ground"
"UPS Letter Envelope","UPS Letter Envelope"
"UPS Next Day Air","UPS Next Day Air"
"UPS Next Day Air Early A.M.","UPS Next Day Air Early A.M."
"UPS Next Day Air Saver","UPS Next Day Air Saver"
"UPS Saver","UPS Saver"
"UPS Second Day Air","UPS Second Day Air"
"UPS Second Day Air A.M.","UPS Second Day Air A.M."
"UPS Standard","UPS Standard"
"UPS Three-Day Select","UPS Three-Day Select"
"UPS Today Dedicated Courrier","UPS Today Dedicated Courrier"
"UPS Today Express","UPS Today Express"
"UPS Today Express Saver","UPS Today Express Saver"
"UPS Today Intercity","UPS Today Intercity"
"UPS Today Standard","UPS Today Standard"
"UPS Tube","UPS Tube"
"UPS type","UPS type"
"UPS Worldwide 10 kilo","UPS Worldwide 10 kilo"
"UPS Worldwide 25 kilo","UPS Worldwide 25 kilo"
"UPS Worldwide Expedited","UPS Worldwide Expedited"
"UPS Worldwide Express","UPS Worldwide Express"
"UPS Worldwide Express Plus","UPS Worldwide Express Plus"
"UPS Worldwide Express PlusSM","UPS Worldwide Express PlusSM"
"Used only when 'Additional Protection Value' is set to 'Configuration'. Can contain only numeric amount.","Used only when 'Additional Protection Value' is set to 'Configuration'. Can contain only numeric amount."
"USPS","USPS"
"Your Packaging","Uw verpakking"
"Variable","Variabel"
"Packaging","Verpakking"
"Customer Packaging","Verpakking klant"
"Ship to Specific countries","Verzenden naar bepaalde landen"
"Ship to applicable countries","Verzenden naar landen die van toepassing zijn"
"Shipment type","Verzendtype"
"Next Day Air Saver Letter","Volgende dag luchtpost met besparing"
"Next Day Air Saver","Volgende dag met besparing"
"Please enter the package weight","Vul het pakketgewicht in a.u.b."
"Password","Wachtwoord"
"Displayed Error Message","Weergeven foutbericht"
"Worldwide Expedited","Worldwide Expedited"
"Worldwide Express","Worldwide Express"
"Worldwide Express Letter","Worldwide Express Letter"
"Worldwide Express Plus","Worldwide Express Plus"
"Worldwide Express Plus Letter","Worldwide Express Plus Letter"
"Worldwide Express Saver","Worldwide Express Saver"
"Tracking XML URL","XML traceer URL"
"Shipment is not available.","Zending is niet beschikbaar"
"Shipment picked up","Zending opgehaald"
